1445,1413,1300
1443,1411,1500
1441,1410,1500
1439,1408,1500
1438,1406,1500
1436,1404,1500
1434,1402,1500
1433,1400,1500
1431,1398,1500
1429,1396,1500
1428,1394,1500
1426,1392,1500
1424,1391,1500
1423,1389,1500
1421,1387,1500
1419,1385,1500
1418,1383,1500
1416,1381,1500
1414,1379,1500
1413,1377,1500
1411,1375,1500
1409,1373,1500
1408,1371,1500
1406,1369,1500
1405,1367,1500
1403,1365,1500
1401,1363,1500
1400,1361,1500
1398,1359,1500
1397,1357,1500
1395,1355,1500
1393,1353,1500
1392,1351,1500
1390,1349,1500
1389,1347,1500
1387,1345,1500
1386,1343,1500
1384,1341,1500
1382,1339,1500
1381,1337,1500
1379,1335,1500
1378,1333,1500
1376,1331,1500
1375,1329,1500
1373,1327,1500
1372,1325,1500
1370,1323,1500
1369,1320,1500
1367,1318,1500
1366,1316,1500
1362,1316,1500
1361,1314,1500
1359,1312,1500
1358,1310,1500
1356,1308,1500
1355,1305,1500
1353,1303,1500
1352,1301,1500
1351,1299,1500
1349,1297,1500
1348,1295,1500
1346,1293,1500
1345,1290,1500
1343,1288,1500
1342,1286,1500
1341,1284,1500
1339,1282,1500
1338,1280,1500
1337,1277,1500
1335,1275,1500
1334,1273,1500
1332,1271,1500
1331,1269,1500
1330,1266,1500
1328,1264,1500
1327,1262,1500
1326,1260,1500
1324,1258,1500
1323,1255,1500
1322,1253,1500
1320,1251,1500
1319,1248,1500
1318,1246,1500
1317,1244,1500
1315,1242,1500
1314,1239,1500
1313,1237,1500
1312,1235,1500
1310,1232,1500
1309,1230,1500
1308,1228,1500
1307,1225,1500
1305,1223,1500
1304,1221,1500
1303,1218,1500
1302,1216,1500
1300,1214,1500
1299,1211,1500
1298,1209,1500
1297,1207,1500
1296,1204,1500
1296,1204,1500
1293,1206,1500
1291,1208,1500
1289,1210,1500
1286,1212,1500
1284,1214,1500
1282,1215,1500
1279,1217,1500
1277,1219,1500
1275,1221,1500
1273,1222,1500
1270,1224,1500
1268,1226,1500
1266,1227,1500
1264,1229,1500
1261,1231,1500
1259,1232,1500
1257,1234,1500
1255,1235,1500
1253,1237,1500
1250,1238,1500
1248,1240,1500
1246,1241,1500
1244,1243,1500
1242,1244,1500
1240,1246,1500
1240,1246,1500
1237,1247,1500
1235,1249,1500
1233,1250,1500
1231,1251,1500
1229,1253,1500
1227,1254,1500
1225,1255,1500
1223,1257,1500
1220,1258,1500
1218,1259,1500
1216,1261,1500
1214,1262,1500
1212,1263,1500
1210,1264,1500
1208,1265,1500
1206,1267,1500
1204,1268,1500
1202,1269,1500
1200,1270,1500
1198,1271,1500
1196,1272,1500
1193,1274,1500
1191,1275,1500
1188,1274,1500
1186,1275,1500
1184,1276,1500
1182,1277,1500
1180,1278,1500
1178,1279,1500
1176,1280,1500
